,Period,Time,Fx,Fy,Fz,Mx,My,Mz
101,57.0,38.33302974700928,-46.89797994824196,-98.08277804142281,-589.3788022496631,81.66181926669445,-525.703717116547,131.9536507234686
102,58.0,38.74855923652649,-44.46375063813934,-108.07208399443549,-571.5342175754106,413.0532332340325,-521.9567581573903,88.98686956450547
103,59.0,39.15057039260864,-49.26383040303224,-110.32276292959928,-616.9264080712356,409.4268133714724,-494.09523524495955,104.18124208087785
104,6.0,13.080114960670471,-45.98436636931547,-33.94523644889984,-646.7657504341225,-1246.143165093853,31.908426765043764,154.1077877309053
105,60.0,39.551740765571594,-47.06126819694382,-104.75240167936386,-593.9498992699355,323.40920855922695,-457.96510706156516,97.31995977007429
106,61.0,39.962709188461304,-41.09632299445801,-105.39367568033937,-571.9947813492139,184.56089008653524,-495.1526219390429,121.04785294034016
107,62.0,40.37472403049469,-45.53363559794693,-103.22935436281747,-580.9952575311441,195.6885083184753,-534.0044616361314,150.5993404849529
108,63.0,40.787328362464905,-43.460902495690675,-106.20808207423615,-587.2306268426278,318.08360487293686,-552.2007049224958,105.59650201968688
109,64.0,41.185218334198,-53.73003893482466,-110.76595003654876,-610.9124778233523,332.7370394637397,-547.7143963725033,122.62311646015262
110,65.0,41.58124804496765,-39.66580711734534,-112.87814960227101,-556.7700862842672,459.52965528915354,-529.1794224637272,177.07970191488255
111,66.0,41.97919690608978,-44.660936801553966,-113.39312342612243,-576.6289219426397,456.44352699481243,-583.3097453041,29.27266391400489
112,67.0,42.36674678325653,-47.67903131651051,-114.91083089115672,-592.5536470327364,583.933180180566,-560.1171197209278,78.16519176534331
113,68.0,42.754918336868286,-40.722121201728235,-114.02950300580274,-579.988695978995,447.43175505293794,-572.998034468137,77.50629589692166
114,69.0,43.15843081474304,-45.59087190129057,-111.23588410296206,-557.9704515977533,424.50978718080853,-525.5424723854778,103.84400633888868
115,7.0,13.730170726776123,-45.954475760205625,-33.89295705178556,-645.734217847323,-1247.7630413101056,49.89845763107471,174.83564583472315
116,70.0,43.55232357978821,-50.94470480603373,-120.3940320962854,-616.1137345026121,561.4073461929153,-599.193075541578,111.45066732256569
117,71.0,43.9378547668457,-44.16337600846162,-116.22947005525202,-552.5318270440566,540.5860367673947,-577.9109738416364,83.57049828895975
118,72.0,44.32646858692169,-45.88100702403054,-124.30621992093285,-575.5761305172989,682.5325887437551,-548.8700196458848,66.51249682091351
119,73.0,44.702996492385864,-43.65831722930577,-125.50982542174619,-586.9043435370738,887.2355802279291,-524.6982131832351,62.946860708163904
120,74.0,45.08010447025299,-44.34124082865743,-124.79548498683592,-591.394250996341,929.8898447641718,-580.1818516329316,65.61047476180832
121,75.0,45.469072699546814,-44.54446138895327,-116.6736166814212,-551.9857776108488,746.7917344672453,-585.945406767187,86.05268624732985
122,76.0,45.85703265666962,-46.04681286084783,-120.17062131550678,-579.4543896610513,706.7037870476648,-582.1050122120926,90.3752289944849
123,77.0,46.23248481750488,-45.27918953749737,-123.8157663320088,-569.672615915483,747.9304217480758,-542.7806560370885,34.538875312393785
124,78.0,46.60758185386658,-44.51509842577594,-124.95039985240228,-574.0916957552295,795.9786542601541,-558.1031420038539,22.458877203658496
125,79.0,46.98212218284607,-44.48980214687825,-120.81538629817446,-589.4392190238837,778.793150305483,-543.0323900746382,86.36063572526463
126,8.0,14.342881321907043,-46.33633053489158,-44.022596035267995,-658.3492330858716,-1091.5770352306981,-35.76976269053742,228.12609555877768
